date,campaign_name,campaign_type,city,spend,impressions,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Mumbai,10313.09,31495,643,643,135,60,32,63467
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,8189.79,27438,606,606,120,48,24,45375
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Bengaluru,7919.77,24735,573,573,118,48,45,76453
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Hyderabad,6094.96,19123,387,387,89,36,20,44079
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Pune,4184.32,13080,302,302,65,28,13,19187
2026-03-01,vrs26_gads_search_brand_natl,search_brand,Chennai,3370.61,11509,260,260,61,20,12,28987
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,14290.59,45522,1108,1108,145,51,23,40373
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,15066.94,50072,1196,1196,133,45,23,47974
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,11327.74,34203,688,688,77,29,15,33683
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,7969.32,23152,577,577,77,25,15,21984
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,5678.93,16332,332,332,35,12,9,25190
2026-03-01,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,4234.05,13410,307,307,37,12,10,11790
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Mumbai,7642.85,28200,547,547,113,38,26,48872
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,7565.47,23955,577,577,114,46,25,48874
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6701.48,23710,488,488,99,39,23,40375
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3976.79,14561,305,305,62,20,9,21191
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Pune,3167.78,11519,308,308,77,35,26,49371
