date,campaign_name,audience,objective,city,spend,impressions,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Mumbai,4802.64,9994,52,52,4,1,1,799
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Delhi NCR,3771.58,6768,28,28,3,2,0,0
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Bengaluru,3244.64,5102,23,23,0,0,0,0
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Hyderabad,2361.16,4670,38,38,0,0,0,0
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Pune,1791.28,4354,22,22,0,0,0,0
2026-04-06,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Chennai,1652,4023,17,17,2,1,1,799
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Mumbai,1486.1,3294,28,28,1,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Delhi NCR,1144.53,2346,12,12,0,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Bengaluru,1094.49,2709,23,23,1,1,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Hyderabad,930.59,2386,15,15,1,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Pune,563.45,1112,6,6,0,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Chennai,445.48,886,3,3,1,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Mumbai,1416.71,2870,26,26,0,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Delhi NCR,1220.66,2214,19,19,2,1,1,6499
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Bengaluru,1261.1,2833,18,18,3,1,1,1299
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Hyderabad,780.95,1489,3,3,1,1,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Pune,524.57,1122,6,6,0,0,0,0
2026-04-06,vrs26_li_sponsored_brand_natl,senior_management,brand,Chennai,460.64,946,6,6,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Mumbai,1312.09,2993,27,27,1,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Delhi NCR,1031.39,2021,11,11,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Bengaluru,958.46,2228,18,18,1,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Hyderabad,807.67,1345,10,10,1,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Pune,528.81,1217,14,14,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Chennai,423.34,977,7,7,1,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Mumbai,1278.63,2471,16,16,2,1,1,1299
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Delhi NCR,1106.53,2732,16,16,3,1,1,1999
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Bengaluru,1044.93,2504,8,8,2,1,0,0
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Hyderabad,690.71,1248,4,4,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Pune,496.81,957,8,8,2,0,0,0
