date,campaign_name,adset_name,creative,creative_type,objective,city,spend,impressions,reach,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,11161.54,61541,44179,912,912,95,23,10,14190
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,801.73,5016,3702,95,95,3,0,0,0
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,772.08,4279,2944,83,83,5,1,1,799
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,445.44,2424,1425,35,35,2,1,1,6499
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,386.47,2264,1548,36,36,7,2,2,7298
2026-03-02,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,298.1,1792,1143,31,31,4,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,13410.86,72054,50050,1146,1146,120,52,28,49670
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,744.95,3691,2364,67,67,4,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,650.45,3607,2246,54,54,4,3,2,6797
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,430.59,1972,1156,27,27,4,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,320.26,1805,1314,40,40,1,1,0,0
2026-03-03,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,275.71,1268,842,30,30,0,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Mumbai,661.56,3457,2278,57,57,10,4,1,799
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Delhi NCR,10560.11,57861,42640,751,751,84,24,14,16686
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Bengaluru,574.96,2679,1571,44,44,6,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Hyderabad,370.7,1964,1135,32,32,4,3,1,799
