date,publication,slot,city,spend,estimated_reach,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-04-05,The Urban Chronicle,Strip Ad,Delhi NCR,17577.24,180400,201,6,0,0,0
2026-04-05,Deccan Daily Express,Quarter Page,Hyderabad,12501.28,162000,329,14,4,4,6096
2026-04-05,Capital Post,Full Page,Delhi NCR,50581.34,610000,730,32,14,7,11193
2026-04-05,Peninsula Weekly,Half Page,Bengaluru,26221.9,277750,409,6,1,0,0
2026-04-05,Sportsline Monthly,Full Page,Mumbai,26591.92,210000,296,11,3,3,2897
2026-04-05,City Pulse Tabloid,Strip Ad,Pune,5587.73,64900,38,2,0,0,0
2026-04-12,Metro Morning Herald,Half Page,Mumbai,40560.04,489500,525,21,8,2,3298
2026-04-12,The Urban Chronicle,Strip Ad,Delhi NCR,15833.3,180400,134,6,0,0,0
2026-04-12,Bay City Times,Full Page,Chennai,32301.83,470000,710,22,9,3,3397
2026-04-19,Metro Morning Herald,Strip Ad,Mumbai,14976.98,195800,356,4,1,1,6499
2026-04-19,The Urban Chronicle,Strip Ad,Delhi NCR,15986.9,180400,67,3,1,0,0
2026-04-19,Deccan Daily Express,Quarter Page,Hyderabad,12110.48,162000,192,6,3,2,1598
2026-04-19,Bay City Times,Full Page,Chennai,32059.04,470000,617,21,7,3,4797
2026-04-19,Peninsula Weekly,Strip Ad,Bengaluru,9735.24,111100,117,3,1,1,499
2026-04-19,City Pulse Tabloid,Strip Ad,Pune,5411.88,64900,159,6,0,0,0
2026-04-26,Deccan Daily Express,Strip Ad,Hyderabad,9109.37,118800,88,3,1,1,1598
2026-04-26,Capital Post,Quarter Page,Delhi NCR,13458.75,183000,118,0,0,0,0
2026-04-26,Peninsula Weekly,Strip Ad,Bengaluru,8852.26,111100,120,6,2,1,2499
2026-04-26,Sportsline Monthly,Quarter Page,Mumbai,8814.3,63000,94,6,2,0,0
2026-04-28,The Urban Chronicle,Half Page,Delhi NCR,39775.69,451000,342,12,4,1,1999
2026-04-28,Deccan Daily Express,Strip Ad,Hyderabad,9303.4,118800,53,2,1,1,1598
2026-04-28,Peninsula Weekly,Quarter Page,Bengaluru,13553.51,151500,92,4,2,1,3998
2026-04-29,The Urban Chronicle,Quarter Page,Delhi NCR,18943.93,246000,209,4,2,2,4298
2026-04-29,Deccan Daily Express,Quarter Page,Hyderabad,11032.47,162000,253,14,5,2,2097
2026-04-29,Bay City Times,Strip Ad,Chennai,8042.63,103400,114,2,0,0,0
2026-04-29,Capital Post,Strip Ad,Delhi NCR,9106.88,134200,238,10,4,4,3796
2026-04-30,Metro Morning Herald,Half Page,Mumbai,42190.63,489500,876,34,8,5,4194
2026-04-30,The Urban Chronicle,Half Page,Delhi NCR,41217.52,451000,720,31,11,4,5195
2026-04-30,Peninsula Weekly,Half Page,Bengaluru,24882.81,277750,436,25,8,5,15594
2026-04-30,Sportsline Monthly,Quarter Page,Mumbai,8542.88,63000,55,0,0,0,0
2026-04-30,City Pulse Tabloid,Quarter Page,Pune,7533.39,88500,98,5,2,1,499
2026-05-03,Metro Morning Herald,Strip Ad,Mumbai,16681.17,195800,265,11,5,2,4597
2026-05-03,Deccan Daily Express,Quarter Page,Hyderabad,12875.74,162000,184,8,3,2,4298
2026-05-03,Bay City Times,Strip Ad,Chennai,8453.19,103400,149,7,2,0,0
2026-05-03,Capital Post,Strip Ad,Delhi NCR,10525.76,134200,166,10,2,1,799
2026-05-03,City Pulse Tabloid,Full Page,Pune,25062.41,295000,377,26,4,2,2098
2026-05-10,Metro Morning Herald,Half Page,Mumbai,41268.26,489500,669,29,8,6,19594
2026-05-10,The Urban Chronicle,Quarter Page,Delhi NCR,20038.14,246000,240,12,4,2,4298
2026-05-10,Bay City Times,Strip Ad,Chennai,8623.37,103400,101,7,2,2,4998
2026-05-10,Peninsula Weekly,Quarter Page,Bengaluru,12941.22,151500,146,5,2,1,1299
2026-05-10,Sportsline Monthly,Strip Ad,Mumbai,5916.24,46200,52,2,1,0,0
2026-05-13,Metro Morning Herald,Half Page,Mumbai,41963.68,489500,619,23,13,9,16691
2026-05-13,The Urban Chronicle,Quarter Page,Delhi NCR,21528.3,246000,381,6,1,0,0
2026-05-13,Deccan Daily Express,Strip Ad,Hyderabad,8656.21,118800,103,6,2,0,0
2026-05-13,Capital Post,Strip Ad,Delhi NCR,10112.39,134200,145,7,1,0,0
2026-05-13,Peninsula Weekly,Strip Ad,Bengaluru,9533.48,111100,131,9,5,2,4798
2026-05-13,Sportsline Monthly,Full Page,Mumbai,25651.27,210000,252,13,5,4,10596
2026-05-13,City Pulse Tabloid,Strip Ad,Pune,4757.4,64900,76,5,3,2,2098
2026-05-14,Metro Morning Herald,Strip Ad,Mumbai,14692.67,195800,235,13,3,1,5998
2026-05-14,The Urban Chronicle,Quarter Page,Delhi NCR,19671.69,246000,402,19,7,1,6499
